game_name,reviews_like_rate,all_reviews_number,release_date,developer,user_defined_tags,supported_os,supported_languages,price,other_features,age_restriction,rating,difficulty,length,estimated_downloads,release_year
Counter-Strike 2,86,8803754,2012-08-21,Valve,"FPS, Action, Tactical","win, linux","English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese, Indonesian",0.0,"Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Steam Timeline",17,3.2,4,80,306170000,2012
PUBG: BATTLEGROUNDS,59,2554482,2017-12-21,PUBG Corporation,"Survival, Shooter, Action, Tactical",win,"English, Korean, Simplified Chinese, French, German, Spanish - Spain, Arabic, Japanese, Polish, Portuguese - Portugal, Russian, Turkish, Thai, Italian, Portuguese - Brazil, Traditional Chinese, Ukrainian",0.0,"Online PvP, Stats, Remote Play on Phone, Remote Play on Tablet",13,3.1,4,73,162350000,2017
ELDEN RING NIGHTREIGN,77,53426,2025-05-30,"FromSoftware, Inc.","Souls-like, Open World, Fantasy, RPG",win,"English, Japanese, French, Italian, German, Spanish - Spain, Arabic, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese",25.99,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",17,3.96,4,50,840000,2025
The Last of Us™ Part I,79,45424,2023-03-28,Naughty Dog LLC,"Story Rich, Shooter, Survival, Horror",win,"English, Italian, Spanish - Spain, Czech, Dutch, Greek, French, German, Danish, Finnish, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Croatian",59.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",17,4.1,3,24,2000000,2023
Red Dead Redemption 2,92,672140,2019-12-05,Rockstar Games,"Open World, Story Rich, Adventure, Realistic, Shooter, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",59.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",17,4.32,3,80,21610000,2019
Dota 2,81,2497040,2013-07-09,Valve,"Strategy, Action, Combat","win, mac, linux","English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese",0.0,"Steam Trading Cards, Steam Workshop, SteamVR Collectibles, In-App Purchases, Steam Timeline",13,3.71,4,80,234950000,2013
EA SPORTS FC™ 25,49,67600,2024-09-27,EA Canada,"Sports, Simulation, Realistic",win,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Danish, Dutch, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish",69.99,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Remote Play Together, HDR available",0,3.2,3,48,2320000,2024
Project Zomboid,94,284985,2013-11-08,The Indie Stone,"Early Access, RPG, Simulation, Survival, Open World, 2D","win, mac, linux","English, French, Italian, German, Spanish - Spain, Danish, Dutch, Hungarian, Norwegian, Polish, Portuguese - Portugal, Russian, Turkish, Japanese, Simplified Chinese, Portuguese - Brazil, Finnish, Korean, Thai, Traditional Chinese, Ukrainian",10.49,"Single-player, Online PvP, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, Remote Play Together, Family Sharing",17,3.66,4,59,21370000,2013
Game of Thrones: Kingsroad,61,2667,2025-05-22,Netmarble Neo,"Action, Adventure, RPG, Open World, Fantasy",win,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Turkish",0.0,"Single-player, Online Co-op, In-App Purchases",17,3.4,3,42,361500,2025
Rust,87,1018247,2018-02-08,Facepunch Studios,"Survival, Crafting, Open World, RPG, Sandbox","win, mac","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Ukrainian, Polish, Portuguese - Portugal, Turkish, Arabic, Czech, Danish, Dutch, Finnish, Greek, Norwegian, Portuguese - Brazil, Spanish - Latin America, Swedish, Traditional Chinese, Vietnamese",18.99,"MMO, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Stats, Remote Play on Tablet",17,3.2,4,65,36400000,2018
